PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2025-04-11,18:35:59,1,1,"Schmitz, Paul",812367,Right,HOU_COU,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,0,0,Cutter,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.43397,-3.365552,-2.20705,2256.620128,194.62427,12:30,6.4593,1.45034,6.28468,-19.35548,16.85938,4.08693,1.73857,-0.24425,79.95032,-7.033331,-1.468468,0.433127,,,,,,,,,,,,-2.75445,10.08945,-1.28943,50,6.2012,4.72514,-126.7694,-7.99332,-4.46933,26.61519,-15.803,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,b8fb00b0-172d-11f0-b3ec-b7b50aa593bb,87.02408,,,7.48366,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:35:59,2025-04-11T18:35:58.5017344-05:00,2025-04-11T23:35:58.5017344Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,91877a88-6fde-48a1-bf26-04615c000e8c,54.21504,-127.65127,13.3076,6.45738,-7.4697,-7.9015,-1.44845,4.87323,-2.23467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-04-11,18:36:10,1,2,"Schmitz, Paul",812367,Right,HOU_COU,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,0,1,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.77552,-4.637696,-1.55549,2219.07479,188.678611,12:15,6.44318,1.55096,6.12494,-22.34726,15.44406,2.17319,0.28262,0.29373,78.98577,-8.80219,-1.163438,0.442453,,,,,,,,,,,,-1.5537,9.63441,-1.43304,50,6.07574,3.29025,-124.24939,-10.73795,-2.43234,24.556,-17.09113,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,c003d850-172d-11f0-b3ec-b7b50aa593bb,85.18965,,,6.78974,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:36:10,2025-04-11T18:36:10.2613504-05:00,2025-04-11T23:36:10.2613504Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,2b04eb23-6cef-472e-bd7a-6220e2503641,54.37592,-125.11123,12.278,6.44209,-10.1381,-8.54556,-1.55002,3.37562,-1.21617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-04-11,18:36:25,1,3,"Schmitz, Paul",812367,Right,HOU_COU,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,1,1,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.1488,-3.964854,-1.353892,1881.997932,217.464859,1:15,6.43652,1.32521,6.00265,-23.80891,13.02166,9.05626,0.77177,0.82517,79.94695,-8.394112,0.276886,0.436793,,,,,,,,,,,,-5.05733,8.19406,-1.22371,50,6.11105,2.62189,-126.30548,-9.49861,-8.15293,26.22052,-18.96442,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,c905c0d0-172d-11f0-b3ec-b7b50aa593bb,86.29361,,,7.20185,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:36:25,2025-04-11T18:36:25.4121472-05:00,2025-04-11T23:36:25.4121472Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,7c651f37-cf79-4516-8624-6f3c6c4ef3b5,54.4981,-127.23584,13.11026,6.43615,-8.82571,-9.48221,-1.32187,2.91117,-4.07646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-04-11,18:36:40,1,4,"Schmitz, Paul",812367,Right,HOU_COU,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.14662,-1.680366,-1.390844,2313.646151,184.487875,12:15,6.4079,1.49301,6.28074,-18.24804,15.61343,1.14169,3.33749,0.30591,82.49739,-5.149477,-1.184481,0.418817,94.18813,8.544361,-14.797071,2900.42024,103.96392,10.04312,-35.9357,177.57302,177.26111,-21.592156,1.621186,-0.98213,8.91367,-1.39089,50,6.27485,3.13421,-130.97439,-4.36496,-1.70567,27.71604,-16.69356,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,d1f4e4a0-172d-11f0-b3ec-b7b50aa593bb,89.99743,10.54793,,7.64923,,,,0.64874,3.20967,-0.28729,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:36:40,2025-04-11T18:36:40.4562432-05:00,2025-04-11T23:36:40.4562432Z,LineDrive,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,c0f3b687-7ceb-4c56-9bf1-b6f82dcd0870,54.21988,-131.86436,13.85802,6.4064,-3.82893,-8.34678,-1.49241,3.18897,-0.85283,111.975596,0.64874,132.0787,-25.43015,5.43455,-1.12035,0.20091,-0.03365,0.00464,-0.00035,3.20967,20.52452,-14.66917,0.37725,0.12702,-0.0594,0.01844,-0.00333,0.00029,-0.28729,-34.88949,-6.59362,3.29256,-1.10117,0.30317,-0.07137,0.01238,-0.00112,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-04-11,18:37:33,2,1,"Schmitz, Paul",812367,Right,HOU_COU,"Sauve, Logan",702524,Right,WES_MOU,Undefined,1,Top,0,0,0,Cutter,Cutter,InPlay,Undefined,LineDrive,Single,0,0,,85.01038,-2.261754,-3.107579,2141.067959,192.66296,12:30,6.40766,1.74501,6.28874,-21.03092,17.3708,3.6115,2.56652,-0.82076,77.45129,-6.257944,-2.455906,0.446012,98.85256,13.413854,-9.777479,7338.443286,107.86927,19.19814,-21.54383,242.09077,241.83296,-13.45908,2.317553,-2.82067,10.11012,-1.51766,50,6.23056,6.55801,-123.26968,-5.44379,-4.31048,26.06916,-16.72407,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,f119c350-172d-11f0-b3ec-b7b50aa593bb,84.50986,19.7282,,7.55909,,,,1.91888,2.60829,0.784,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:37:33,2025-04-11T18:37:32.7170048-05:00,2025-04-11T23:37:32.7170048Z,LineDrive,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,b1aabf69-58bb-400b-8aeb-cf2c9c3391a1,54.21217,-124.15727,13.03458,6.40621,-4.87437,-8.36203,-1.74344,6.70477,-2.15524,114.55154,1.91888,138.97957,-23.47642,4.59964,-0.93546,0.13776,-0.01336,-3.00E-05,0.00015,2.60828,33.63384,-18.20017,1.91374,-0.35253,0.07691,-0.01469,0.00245,-0.00024,0.78401,-23.94984,-3.77175,2.86026,-0.99938,0.27288,-0.05802,0.0087,-0.00062,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
